0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:50 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:52 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:52 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:56 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:56 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:58 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:46:58 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:48:29 +0530] "GET /TechBlog/ HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:48:29 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:49:48 +0530] "GET /TechBlog/ HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:49:48 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:49:48 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:51:17 +0530] "GET /TechBlog/ HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:51:17 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:52:36 +0530] "GET /TechBlog/ HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:52:36 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:56:47 +0530] "GET /TechBlog/ HTTP/1.1" 200 3810
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:56:47 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:56:47 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:57:25 +0530] "GET /TechBlog/ HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:57:25 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:58:06 +0530] "GET /TechBlog/ HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [13/Jan/2023:21:58:06 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:06:05 +0530] "GET /TechBlog/ HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:06:05 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:06:05 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:07:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:07:44 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:08:44 +0530] "GET /TechBlog/ HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:08:45 +0530] "GET /TechBlog/ HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:08:46 +0530] "GET /TechBlog/ HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:08:46 +0530] "GET /TechBlog/ HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:08:47 +0530] "GET /TechBlog/ HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:33 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:33 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:33 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:34 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:34 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:34 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:35 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:09:35 +0530] "GET /TechBlog/ HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:12:06 +0530] "GET /TechBlog/ HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:12:06 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:12:55 +0530] "GET /TechBlog/ HTTP/1.1" 200 4992
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:12:55 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:18:26 +0530] "GET /TechBlog/ HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:18:26 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:20:26 +0530] "GET /TechBlog/ HTTP/1.1" 200 6144
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:20:26 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:21:39 +0530] "GET /TechBlog/ HTTP/1.1" 200 6144
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:21:39 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:28:19 +0530] "GET /TechBlog/ HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:28:19 +0530] "GET /TechBlog/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:28:19 +0530] "GET /TechBlog/js/javaScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:22:30:40 +0530] "GET /TechBlog/ HTTP/1.1" 200 6322
